Year,Month,EPU,GPR,CPU
2010,1,119.162,91.581,110.4844
2010,2,106.0495,80.7254,62.894
2010,3,143.9224,74.1169,78.8909
2010,4,95.0422,88.7616,106.3566
2010,5,106.9252,88.9587,160.3571
2010,6,138.4905,96.4537,133.2449
2010,7,127.5013,79.3814,101.4714
2010,8,95.1598,80.9939,117.5595
2010,9,82.1146,71.1685,130.135
2010,10,97.8997,65.9919,111.2401
2010,11,93.2875,94.7052,136.915
2010,12,125.7659,97.2039,101.3183
2011,1,155.0463,79.4216,127.339
2011,2,59.0074,90.0145,98.9399
2011,3,120.7701,136.8883,158.3348
2011,4,135.1717,91.0178,156.5997
2011,5,74.1229,105.3449,91.3308
2011,6,102.6547,84.3918,59.116
2011,7,99.8416,78.9248,91.9294
2011,8,140.2648,86.9516,110.5045
2011,9,142.515,83.3504,146.1424
2011,10,157.7215,76.3399,119.1633
2011,11,161.8502,83.1577,99.3557
2011,12,159.6144,85.3413,116.1878
2012,1,120.4491,79.635,80.7449
2012,2,139.1525,92.4458,112.6797
2012,3,136.7798,88.76,63.9308
2012,4,126.3163,96.0167,73.0297
2012,5,133.15,78.1712,117.7499
2012,6,139.0382,77.8224,111.2162
2012,7,120.4033,82.808,108.9115
2012,8,78.7668,74.8784,119.2321
2012,9,120.4692,69.2805,91.5753
2012,10,113.1046,81.6637,83.9242
2012,11,122.3191,81.3896,146.0922
2012,12,142.0774,74.8316,92.0536
2013,1,130.1576,90.6575,103.785
2013,2,84.2714,81.5903,66.4014
2013,3,90.5134,75.8967,58.0725
2013,4,119.6711,95.1079,93.1408
2013,5,71.5219,83.7173,38.0921
2013,6,102.7161,82.973,68.2699
2013,7,76.24,73.9758,101.9347
2013,8,100.9112,90.9567,50.5859
2013,9,100.9328,100.4593,106.1156
2013,10,153.1258,72.9531,100.5704
2013,11,120.5846,77.779,43.9139
2013,12,124.156,70.3725,99.9075
2014,1,103.5486,77.916,82.3829
2014,2,70.5791,69.0035,104.5889
2014,3,99.9741,119.8386,60.8667
2014,4,129.5464,93.2215,87.1606
2014,5,77.4315,83.4289,88.9804
2014,6,105.8055,98.7671,72.2094
2014,7,94.6007,138.754,63.4094
2014,8,77.5993,136.4456,96.4263
2014,9,107.9098,131.5567,78.2636
2014,10,99.8139,83.661,54.6727
2014,11,120.1339,84.3801,131.02
2014,12,58.8992,86.5262,78.0282
2015,1,98.0349,111.9857,103.8572
2015,2,95.1119,111.9247,89.5596
2015,3,116.2657,104.2353,80.1696
2015,4,63.9391,102.1905,104.3895
2015,5,68.2508,76.2623,125.8812
2015,6,95.5362,85.906,58.1677
2015,7,133.6395,106.8087,52.3432
2015,8,60.2059,82.4785,71.6404
2015,9,96.4306,98.7675,104.8187
2015,10,87.3398,91.9319,82.5644
2015,11,96.078,150.7159,100.6703
2015,12,94.5381,148.2369,137.3122
2016,1,127.4783,118.2111,91.4032
2016,2,108.0552,103.7496,49.1253
2016,3,155.2279,109.7203,87.9535
2016,4,165.238,85.2215,108.1191
2016,5,117.5464,88.3324,99.8358
2016,6,131.457,90.1681,120.3796
2016,7,112.3995,114.6105,101.1825
2016,8,116.3258,98.7385,77.0968
2016,9,147.5646,104.5452,107.3176
2016,10,106.8093,85.7478,104.6382
2016,11,133.0971,82.9188,277.9767
2016,12,130.5674,102.1805,223.5605
2017,1,306.0375,105.2012,249.4481
2017,2,176.3996,114.2064,247.5635
2017,3,349.0531,96.6359,208.6606
2017,4,174.1928,119.4599,162.8101
2017,5,130.7554,102.58,188.2838
2017,6,227.6597,126.789,201.6879
2017,7,228.2415,102.8135,150.6201
2017,8,164.6848,138.5316,125.4632
2017,9,206.3844,115.5344,102.3737
2017,10,142.5336,91.4616,107.996
2017,11,206.0378,92.596,150.3879
2017,12,167.6842,82.7183,141.8917
2018,1,265.0796,92.4268,120.6551
2018,2,149.6022,64.4914,117.8123
2018,3,254.1363,111.9623,149.7899
2018,4,241.7394,123.2635,171.0598
2018,5,210.7991,125.6666,175.2114
2018,6,203.0893,103.9686,150.5158
2018,7,395.6721,110.0284,196.5221
2018,8,269.4765,112.7417,143.697
2018,9,314.0877,75.0539,79.4731
2018,10,343.3703,92.0165,103.7216
2018,11,438.2359,80.4076,156.1781
2018,12,248.4691,90.6077,154.8508
2019,1,288.0995,87.4241,211.2216
2019,2,239.9864,96.8002,263.6797
2019,3,411.1501,82.3283,165.9911
2019,4,319.4148,79.2534,94.5297
2019,5,365.1015,106.4719,116.1994
2019,6,649.0725,106.5885,173.1963
2019,7,375.9023,93.5213,131.1425
2019,8,395.9858,103.4044,188.6664
2019,9,347.3948,90.368,346.6124
2019,10,234.0952,97.8367,199.8494
2019,11,396.179,73.0784,170.0484
2019,12,337.9215,74.2799,242.8846
2020,1,250.3219,138.4209,209.3471
2020,2,195.7062,75.9556,205.0062
2020,3,219.4025,81.54,276.6034
2020,4,328.8054,69.3394,245.2856
2020,5,501.3344,68.5072,221.9759
2020,6,421.6411,71.2279,138.3029
2020,7,324.6626,66.4733,133.1777
2020,8,451.6311,65.466,202.7848
2020,9,493.402,80.3774,184.3543
2020,10,396.7967,76.0832,272.1641
2020,11,661.828,70.0675,234.7634
2020,12,439.1236,64.0673,299.8446
2021,1,378.3571,77.4187,180.8234
2021,2,237.4086,73.9568,207.0714
2021,3,302.3006,78.6188,145.2819
2021,4,289.63,88.1662,103.8779
2021,5,216.8606,93.0071,167.9015
2021,6,219.7628,74.1271,176.7582
2021,7,227.9245,58.4208,244.3479
2021,8,294.8278,89.4865,95.0802
2021,9,274.95,80.697,326.1648
2021,10,248.4736,79.0292,259.7489
2021,11,329.0694,86.5691,411.2888
2021,12,344.0034,105.3454,266.2633
2022,1,319.0715,138.675,209.0009
2022,2,167.0819,216.159,221.2773
2022,3,359.0052,318.9549,229.6156
2022,4,337.1538,191.1431,225.9683
2022,5,386.7502,142.2585,235.5591
2022,6,328.095,130.7073,189.2958
2022,7,359.9774,117.1768,336.7758
2022,8,260.881,132.8632,255.6456
2022,9,242.5569,131.9859,178.5962
2022,10,259.0492,143.1624,204.4393
2022,11,448.5888,116.7163,220.3033
2022,12,310.497,111.1959,198.4816
2023,1,275.4136,104.267,213.566
2023,2,364.2877,120.9944,242.0564
2023,3,516.9769,105.3862,287.5295
2023,4,392.605,106.8235,226.2019
2023,5,233.9916,108.4743,227.9405
2023,6,290.4076,110.5695,218.0458
2023,7,233.7482,107.2617,231.7007
2023,8,227.1501,101.2518,153.418
2023,9,249.4848,98.8425,213.5993
2023,10,160.9795,197.9698,150.6064
2023,11,229.346,156.4875,249.2878
2023,12,312.7941,142.074,240.1197
